% Model:              hydro_005.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 16 2025, 10:51
% Dimension:          3
% Nodes:              3184
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% x                       y                        z                        u2 (m/s) @ t=1           v2 (m/s) @ t=1           w2 (m/s) @ t=1           p2 (Pa) @ t=1
5.0E-4                    1.6083237329137678E-4    -3.0132695137921595E-4   4.621991894478566E-10    -4.0532825632344575E-11  -1.7674537743355414E-9   0.107114712818338
5.0E-4                    7.382622258728539E-5     -3.4822032410492215E-4   5.129302296398652E-10    -2.9317759428368464E-11  -1.7020914452483219E-9   0.10711467773182608
4.999999999999999E-4      0                        -3.9999999999999996E-4   5.188806799007787E-10    -2.863198978999624E-15   -1.6189362453321626E-9   0.10711465471657916
4.410996710559061E-4      1.8672395102443858E-4    -2.797825364810382E-4    3.4115781959396097E-10   -4.7692267526757916E-12  -1.948121832486361E-9    0.10711475625982274
5.0E-4                    1.7302999161327101E-4    -1.998409669011222E-4    3.7619444155061013E-10   -3.596261745410442E-11   -1.9397337785737427E-9   0.10711479427056016
4.147401016477265E-4      9.870106172088385E-5     -3.7405562641844845E-4   3.384539773698558E-10    -1.1883453715701145E-11  -1.8796599042321965E-9   0.10711470279137444
4.1097515536740964E-4     1.2130806404341082E-4    2.6664341340512383E-4    -3.1496239859169803E-10  3.999736101114931E-12    -2.0682610835077565E-9   0.10711529381537424
5.0E-4                    8.644076491376948E-5     2.445992016617765E-4     -4.660662957704188E-10   2.98071872519424E-11     -1.873001053021892E-9    0.10711531878210791
3.600288888021242E-4      2.608957202415978E-4     3.247080902754292E-4     -2.038327609106109E-10   -6.674675968785822E-11   -1.9700148015008537E-9   0.10711531406393186
4.176287813836497E-4      2.615468708430103E-4     2.4992316262972543E-4    -2.554218312243086E-10   -3.834508452108879E-11   -2.0072931440751855E-9   0.10711527438684275
5.0E-4                    2.50671101685061E-4      1.5410610676044837E-4    -2.687603705010845E-10   1.5986914226844363E-11   -1.9973620716457277E-9   0.10711521375107579
2.9054374770047856E-4     2.9054374770047856E-4    3.273599793116873E-4     -1.1654370235518554E-10  -1.1654370235518554E-10  -2.0396561882185195E-9   0.10711531161417277
3.1718312829371844E-4     1.9068654029295455E-4    3.5587200002954513E-4    -1.687153546776686E-10   -3.3101047229480185E-11  -2.0690035328510922E-9   0.10711533027940857
4.4351031949141427E-4     3.6123993357482684E-4    1.4698209109380728E-4    -1.5434513814025218E-10  -6.357433994260273E-11   -2.054678078143809E-9    0.10711518882540375
5.0E-4                    3.3545922816682503E-4    1.0280678620670769E-4    -1.5362592984470535E-10  -1.468666847636699E-11   -2.0306260992088688E-9   0.10711515346270117
4.145906916019751E-4      2.8992624244450564E-4    1.9695499553229682E-4    -2.0460339746081732E-10  -4.898494734253121E-11   -2.0820598350572388E-9   0.1071152303193919
3.870206389828286E-4      3.870206389828286E-4     1.911573959809069E-4     -1.283480024702079E-10   -1.283480024702079E-10   -2.037748040644176E-9    0.10711522477190905
3.291813832039503E-4      3.291813832039503E-4     2.3980388430414529E-4    -1.266471858512863E-10   -1.266471858512863E-10   -2.0963026596135116E-9   0.10711525444368929
2.370769083114988E-4      0                        4.1387963931879156E-4    -5.662974905599034E-11   0                        -2.2982502196966784E-9   0.1071153809218784
1.9948113336487827E-4     0                        5.0E-4                   5.912825126305004E-11    -1.3869448298081145E-14  -2.356713099931568E-9    0.10711546217419268
1.809673196007483E-4      8.16596372046745E-5      4.380738440731927E-4     3.768287714883573E-12    1.5196605726991965E-11   -2.377219580618395E-9    0.10711540845036265
1.7376125622167683E-4     7.502908567932113E-5     5.0E-4                   6.862800829193224E-11    4.12407764672785E-11     -2.3883321893630575E-9   0.10711547122469954
1.42415929732039E-4       1.42415929732039E-4      5.000000000000001E-4     5.886494384995472E-11    5.887601876244217E-11    -2.3506894978178584E-9   0.10711545945537661
2.978060938165547E-4      1.6171741380635593E-4    -5.0E-4                  6.250281538186686E-11    -2.5021519888428622E-11  -1.9002797245830686E-9   0.10711465949731586
